INT	INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
2860	679	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2861	679	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
2862	679	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
2863	679	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2864	679	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
2865	679	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2866	680	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
2867	680	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2868	680	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
2869	680	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2870	680	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	100	28	46	64	82	10000	18000	32400	58300	105000
2871	680	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
2872	680	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2873	680	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2874	680	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
2875	680	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2876	680	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
2877	680	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
2878	680	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2879	680	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
2880	680	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2881	681	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
2882	681	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2883	681	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
2884	681	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2885	681	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	101	29	47	65	83	10000	18000	32400	58300	105000
2886	681	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
2887	681	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2888	681	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2889	681	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
2890	681	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2891	681	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
2892	681	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
2893	681	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2894	681	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
2895	681	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2896	682	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
2897	682	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2898	682	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
2899	682	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2900	682	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	102	30	48	66	84	10000	18000	32400	58300	105000
2901	682	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
2902	682	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2903	682	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2904	682	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
2905	682	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2906	682	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
2907	682	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
2908	682	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2909	682	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
2910	682	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2911	683	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
2912	683	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2913	683	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
2914	683	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2915	683	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	103	31	49	67	85	10000	18000	32400	58300	105000
2916	683	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
2917	683	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2918	683	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2919	683	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
2920	683	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2921	683	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
2922	683	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
2923	683	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2924	683	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
2925	683	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2926	684	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
2927	684	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2928	684	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
2929	684	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2930	684	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	104	32	50	68	86	10000	18000	32400	58300	105000
2931	684	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
2932	684	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2933	684	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2934	684	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
2935	684	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2936	684	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
2937	684	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
2938	684	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2939	684	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
2940	684	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2941	685	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
2942	685	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2943	685	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
2944	685	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2945	685	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	105	33	51	69	87	10000	18000	32400	58300	105000
2946	685	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
2947	685	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2948	685	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2949	685	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
2950	685	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2951	685	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
2952	685	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
2953	685	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2954	685	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
2955	685	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2956	686	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
2957	686	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2958	686	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
2959	686	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2960	686	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	106	34	52	70	88	10000	18000	32400	58300	105000
2961	686	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
2962	686	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2963	686	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2964	686	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
2965	686	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2966	686	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
2967	686	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
2968	686	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2969	686	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
2970	686	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2971	687	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
2972	687	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2973	687	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
2974	687	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2975	687	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	89	17	35	53	71	10000	18000	32400	58300	105000
2976	687	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
2977	687	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2978	687	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2979	687	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
2980	687	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2981	687	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
2982	687	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
2983	687	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2984	687	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
2985	688	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2986	688	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
2987	688	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
2988	688	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
2989	688	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2990	688	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	90	18	36	54	72	10000	18000	32400	58300	105000
2991	688	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
2992	688	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2993	688	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2994	688	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
2995	688	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
2996	688	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
2997	688	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
2998	688	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
2999	688	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
3000	688	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
3001	689	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
3002	689	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
3003	689	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
3004	689	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
3005	689	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	91	19	37	55	73	10000	18000	32400	58300	105000
3006	689	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
3007	689	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
3008	689	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
3009	689	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
3010	689	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
3011	689	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
3012	689	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
3013	689	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
3014	689	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
3015	689	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
3016	690	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
3017	690	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
3018	690	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
3019	690	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
3020	690	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	92	20	38	56	74	10000	18000	32400	58300	105000
3021	690	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
3022	690	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
3023	690	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
3024	690	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
3025	690	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
3026	690	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
3027	690	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
3028	690	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
3029	690	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
3030	690	Tß¶ng thành	8	17	0	400 0 1000	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
3031	691	Nha huy®n	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
3032	691	C¶ l¾n	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
3033	691	Võ phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
3034	691	Phòng cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
3035	691	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	93	21	39	57	75	10000	18000	32400	58300	105000
3036	691	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
3037	691	Kho gÕo	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
3038	691	Thß phòng	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
3039	691	Y xá	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
3040	691	T§p phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
3041	691	Quán rßþu	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
3042	691	Bu°ng xép	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
3043	691	Võ cø	6	15	0	-5300 800 -6000	1 0 0 0	42	43	44	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
3044	691	Bàn rèn	5	16	0	-3300 800 -5500	1 0 0 0	46	47	48	49	-1	1	2	3	4	5	9000	11700	15200	19800	25700
